velocitys,velocity_api,altitude,latitude,longitude,time_utc
26847.39591231816,27596,422,48.5418,175.6535,18/10/2021 00:38:02
26609.19106327935,27596,421,45.3185,-174.3721,18/10/2021 00:40:03
26812.799174735446,27597,420,41.2287,-165.6286,18/10/2021 00:42:05
26560.74055052636,27597,419,36.5104,-158.0849,18/10/2021 00:44:06
26757.499052978063,27596,418,31.2932,-151.4861,18/10/2021 00:46:08
27617.59243286772,27595,418,25.586,-145.5229,18/10/2021 00:48:12
26485.032850793432,27593,417,19.7908,-140.3096,18/10/2021 00:50:14
26690.883331068977,27590,417,13.7772,-135.4673,18/10/2021 00:52:16
26672.439229853568,27586,418,7.6561,-130.8989,18/10/2021 00:54:18
26443.507946439535,27581,419,1.5042,-126.495,18/10/2021 00:56:21
26440.741815784695,27576,421,-4.6818,-122.1024,18/10/2021 00:58:23
27105.39350960997,27570,423,-10.8811,-117.5866,18/10/2021 01:00:26
26674.50767453763,27564,425,-16.9439,-112.899,18/10/2021 01:02:28
26682.66650765452,27557,427,-22.8872,-107.8492,18/10/2021 01:04:31
27363.852651406683,27551,430,-28.7084,-102.2044,18/10/2021 01:06:36
26717.75909141837,27544,432,-34.1301,-95.963,18/10/2021 01:08:38
26520.144729849515,27538,435,-39.1113,-88.8666,18/10/2021 01:10:41
26760.917609297812,27533,437,-43.541,-80.6497,18/10/2021 01:12:43
26774.066600884245,27529,439,-47.1928,-71.2238,18/10/2021 01:14:45
26785.83316484348,27526,440,-49.8691,-60.5458,18/10/2021 01:16:48
26566.537001885434,27524,440,-51.3603,-48.8669,18/10/2021 01:18:50
26567.84081915975,27524,440,-51.5275,-36.7925,18/10/2021 01:20:52
26785.279223828184,27524,440,-50.3471,-24.8939,18/10/2021 01:22:54
27662.360517194247,27526,439,-47.8924,-13.7692,18/10/2021 01:24:58
26536.283705037924,27529,437,-44.4591,-4.093,18/10/2021 01:27:00
26737.799360815705,27533,435,-40.2078,4.3648,18/10/2021 01:29:02
26497.797923740985,27538,433,-35.3477,11.6953,18/10/2021 01:31:05
26477.549958581716,27543,431,-30.038,18.0986,18/10/2021 01:33:07
26679.656429010134,27548,429,-24.3793,23.7999,18/10/2021 01:35:09
26440.72848257654,27554,427,-18.5363,28.9179,18/10/2021 01:37:12
26652.501733966998,27559,425,-12.4604,33.7165,18/10/2021 01:39:14
26645.19989329115,27565,423,-6.3337,38.2343,18/10/2021 01:41:16
26646.917042981248,27569,422,-0.1828,42.6169,18/10/2021 01:43:18
26650.978664139464,27574,421,5.971,46.9975,18/10/2021 01:45:20
