velocitys,altitude,latitude,longitude,time_utc
7435.4726175996875,438,-45.3237,-153.127,17/10/2021 06:38:37
7376.954500123224,439,-48.5335,-143.2014,17/10/2021 06:40:38
7440.826153879111,440,-50.6933,-132.0684,17/10/2021 06:42:40
7378.882486224445,440,-51.6013,-120.2068,17/10/2021 06:44:41
7686.185257586007,440,-51.1578,-107.9694,17/10/2021 06:46:45
7382.172394662452,439,-49.4243,-96.5499,17/10/2021 06:48:46
7432.774226871413,437,-46.5505,-86.1554,17/10/2021 06:50:48
7429.196394678532,436,-42.7531,-77.0176,17/10/2021 06:52:49
7361.388951660386,434,-38.2634,-69.1194,17/10/2021 06:54:51
7539.220090848325,431,-33.1798,-62.1727,17/10/2021 06:56:53
7410.815936997023,429,-27.7456,-56.1205,17/10/2021 06:58:55
7345.1435451387215,427,-22.0535,-50.7281,17/10/2021 07:00:56
7402.481878535532,425,-16.1392,-45.7793,17/10/2021 07:02:58
7338.61630368729,423,-10.118,-41.1691,17/10/2021 07:04:59
7399.239106305107,422,-3.993,-36.7294,17/10/2021 07:07:01
7339.451495706683,421,2.1385,-32.3795,17/10/2021 07:09:02
7403.291673508923,420,8.2814,-27.9707,17/10/2021 07:11:04
7346.144489894263,420,14.3396,-23.4234,17/10/2021 07:13:05
7413.272317723718,420,20.3104,-18.5749,17/10/2021 07:15:07
7421.284531712911,421,26.1069,-13.2996,17/10/2021 07:17:08
7366.324088554024,421,31.6274,-7.4574,17/10/2021 07:19:10
7437.219305980804,422,36.8166,-0.8084,17/10/2021 07:21:12
7381.311643675783,422,41.535,6.8654,17/10/2021 07:23:14
7450.5586775698985,423,45.5712,15.6907,17/10/2021 07:25:15
7393.9794960292775,423,48.7274,25.7493,17/10/2021 07:27:19
7397.325947936904,423,50.8331,37.2041,17/10/2021 07:29:20
7708.496263007155,423,51.6213,49.4214,17/10/2021 07:31:25
7460.561099185609,423,51.0202,61.5908,17/10/2021 07:33:27
7458.50414027064,422,49.1241,73.0051,17/10/2021 07:35:28
7392.588050165931,421,46.1199,83.2593,17/10/2021 07:37:30
7510.358418480075,420,42.1833,92.3172,17/10/2021 07:39:32
7689.516347259696,419,37.4884,100.2514,17/10/2021 07:41:36
7375.148634391221,419,32.3753,107.0017,17/10/2021 07:43:37
7429.7059330332795,418,26.869,112.9695,17/10/2021 07:45:39
7422.075344249476,418,21.0965,118.3191,17/10/2021 07:47:40
7354.768352477381,418,15.1641,123.2014,17/10/2021 07:49:42
7412.261553417274,418,9.0867,127.803,17/10/2021 07:51:43
7346.998419212399,419,2.9682,132.2127,17/10/2021 07:53:45
7407.23850690933,421,-3.1952,136.5843,17/10/2021 07:55:46
7345.567536581976,422,-9.3081,140.9948,17/10/2021 07:57:48
7409.036486356428,425,-15.3732,145.5973,17/10/2021 07:59:49
7356.512075372982,427,-21.2906,150.4831,17/10/2021 08:01:51
7415.791008865069,429,-27.0406,155.8338,17/10/2021 08:03:52
7421.66068984928,432,-32.5198,161.8008,17/10/2021 08:05:54
7364.975238063299,434,-37.603,168.5471,17/10/2021 08:07:55
7431.214613231346,436,-42.1951,176.3322,17/10/2021 08:09:56
7375.082708669536,438,-46.0852,-174.7308,17/10/2021 08:11:58
7439.010689676756,440,-49.0978,-164.4984,17/10/2021 08:13:59
7378.762065631506,440,-50.9951,-153.2034,17/10/2021 08:16:01
7441.7876896084135,441,-51.6235,-141.204,17/10/2021 08:18:02
7377.993947908235,440,-50.9155,-129.2775,17/10/2021 08:20:04
7438.237289053321,439,-48.9361,-117.9963,17/10/2021 08:22:05
7371.988765795343,438,-45.8755,-107.8857,17/10/2021 08:24:07
7367.029308088557,436,-41.9236,-98.9936,17/10/2021 08:26:08
7545.344308366417,434,-37.257,-91.2238,17/10/2021 08:28:11
7355.444750542357,432,-32.1472,-84.5462,17/10/2021 08:30:12
7412.805377073423,430,-26.6499,-78.6327,17/10/2021 08:32:14
7344.325282740811,427,-20.9139,-73.3441,17/10/2021 08:34:15
7646.762158587876,425,-14.871,-68.3919,17/10/2021 08:36:19
7400.995686792052,424,-8.8038,-63.8134,17/10/2021 08:38:25
7399.728964494726,422,-2.4405,-59.2373,17/10/2021 08:40:27
7340.310569707853,421,3.6917,-54.8877,17/10/2021 08:42:28
7404.594791237488,421,9.8237,-50.4506,17/10/2021 08:44:30
